agent_id,segment,tenure_months,monthly_contracts,retention_rate_13m,commission_rate,customer_satisfaction,cross_sell_count,complaint_count,training_hours,churned_12m,monthly_premium_10k,commission_cost_10k,cluster,cluster_segment
AG00021,Stable,23,6.0,81.4,39.2,8.0,0,0,10.9,0,966.0,379.0,1,Stable
AG00022,At-Risk,52,0.0,55.6,31.5,6.0,0,0,5.2,0,0.0,0.0,3,At-Risk
AG00023,At-Risk,18,0.9,47.4,20.8,2.5,0,2,14.4,1,61.0,13.0,3,At-Risk
AG00024,Developing,23,5.3,66.3,32.7,6.0,0,3,13.1,0,1184.0,387.0,3,At-Risk
AG00025,Stable,22,5.4,76.6,37.9,5.7,0,0,13.8,0,1100.0,417.0,1,Stable
AG00026,Stable,26,6.1,75.8,36.4,7.6,2,0,8.2,0,1364.0,496.0,2,Developing
AG00027,Star,3,6.2,82.2,47.4,7.0,4,1,23.7,0,2813.0,1333.0,0,Star
AG00028,Stable,12,6.2,80.3,35.7,7.9,2,0,13.2,0,1760.0,628.0,1,Stable
AG00029,Developing,1,2.7,75.9,32.5,4.3,0,0,23.1,0,589.0,191.0,1,Stable
AG00030,Developing,1,0.0,68.9,33.5,7.7,0,0,16.9,0,0.0,0.0,1,Stable
AG00031,At-Risk,97,2.8,46.7,27.8,4.0,0,1,0.0,1,399.0,111.0,3,At-Risk
AG00032,Stable,2,3.1,85.6,33.1,7.4,0,2,19.5,0,749.0,248.0,1,Stable
AG00033,Stable,30,5.3,73.2,42.8,6.0,1,0,7.6,1,1698.0,727.0,2,Developing
AG00034,Stable,12,3.8,86.5,39.9,5.3,0,0,14.5,0,752.0,300.0,1,Stable
AG00035,Stable,7,1.4,75.8,38.5,6.2,2,3,19.5,0,292.0,112.0,1,Stable
AG00036,Stable,45,7.4,81.8,40.8,8.6,2,0,3.8,0,1226.0,500.0,2,Developing
AG00037,Stable,5,1.9,86.4,39.2,5.7,1,0,15.7,1,393.0,154.0,1,Stable
AG00038,Stable,56,8.8,81.9,38.1,9.4,2,1,3.2,0,1991.0,759.0,2,Developing
AG00039,Developing,13,2.8,64.5,32.5,5.0,0,0,12.4,1,476.0,155.0,3,At-Risk
AG00040,Stable,1,2.0,76.1,37.1,5.9,3,1,22.3,0,610.0,226.0,1,Stable
AG00041,Developing,10,1.3,60.2,32.2,6.9,0,1,18.2,1,282.0,91.0,3,At-Risk
AG00042,Developing,29,4.6,65.6,29.2,8.2,3,0,10.8,0,902.0,263.0,1,Stable
AG00043,Stable,12,4.6,82.6,37.1,8.8,0,0,16.3,0,1330.0,493.0,1,Stable
AG00044,Developing,5,1.5,63.9,38.2,5.6,0,0,17.1,0,293.0,112.0,1,Stable
AG00045,Developing,11,4.3,74.6,34.1,8.1,0,0,14.3,0,564.0,192.0,1,Stable
AG00046,Stable,4,5.0,77.4,45.7,6.6,3,0,19.8,0,1295.0,592.0,1,Stable
AG00047,Stable,56,9.5,82.8,43.4,8.1,3,1,2.4,0,2264.0,983.0,2,Developing
AG00048,Developing,19,3.1,75.5,33.4,8.4,1,1,9.7,0,635.0,212.0,1,Stable
AG00049,Stable,24,3.0,78.6,39.5,6.9,0,0,10.1,0,836.0,330.0,1,Stable
AG00050,Stable,84,7.1,84.9,45.6,7.3,1,1,0.0,0,2114.0,964.0,2,Developing
AG00051,Star,6,5.3,88.3,47.0,9.2,0,0,22.8,0,1714.0,806.0,1,Stable
AG00052,Developing,5,1.8,62.1,30.3,5.8,0,0,17.4,0,310.0,94.0,3,At-Risk
AG00053,Developing,7,1.3,73.2,29.3,5.3,0,1,18.0,0,242.0,71.0,3,At-Risk
AG00054,Developing,76,4.1,74.4,37.7,3.9,1,2,3.3,0,660.0,249.0,2,Developing
AG00055,Developing,45,2.7,63.0,33.4,7.0,0,2,7.6,0,606.0,202.0,3,At-Risk
AG00056,Stable,96,5.6,73.7,45.7,7.8,3,1,0.0,0,1264.0,578.0,2,Developing
AG00057,Stable,3,4.5,73.0,34.0,6.6,1,2,22.2,0,1033.0,351.0,1,Stable
AG00058,Stable,8,2.8,71.7,37.7,8.0,2,3,18.8,0,655.0,247.0,1,Stable
AG00059,Stable,5,3.5,78.2,38.2,6.9,1,0,18.8,0,647.0,247.0,1,Stable
AG00060,Developing,37,5.5,69.4,35.4,5.3,0,0,7.3,0,845.0,299.0,2,Developing
AG00061,Stable,6,5.1,70.9,40.1,7.4,3,0,18.8,0,1507.0,604.0,1,Stable
AG00062,Stable,69,8.2,76.9,40.2,4.6,1,0,1.3,0,1871.0,752.0,2,Developing
AG00063,Developing,11,1.7,71.0,28.4,5.6,0,0,14.8,1,396.0,112.0,3,At-Risk
AG00064,Developing,60,5.6,71.3,39.1,5.8,0,0,5.4,0,1012.0,396.0,2,Developing
AG00065,Stable,12,7.0,73.5,38.2,6.9,0,1,10.6,0,1674.0,639.0,1,Stable
AG00066,Stable,3,3.3,85.5,36.7,8.5,0,0,20.6,0,1005.0,369.0,1,Stable
AG00067,Stable,33,4.1,74.9,42.5,7.9,0,2,7.2,0,942.0,400.0,2,Developing
AG00068,Star,10,7.2,91.9,47.2,8.2,3,1,19.4,0,2405.0,1135.0,0,Star
AG00069,Stable,3,3.7,71.7,33.8,8.1,1,0,17.1,0,1101.0,372.0,1,Stable
AG00070,Stable,9,3.5,80.1,37.1,7.3,1,2,14.3,0,646.0,240.0,1,Stable
AG00071,Stable,12,7.4,87.5,33.0,8.9,0,0,11.3,0,2006.0,662.0,1,Stable
AG00072,At-Risk,120,2.2,54.1,27.3,5.1,0,3,0.0,0,211.0,58.0,3,At-Risk
AG00073,Stable,29,6.7,79.1,36.1,7.5,2,1,9.6,0,1563.0,564.0,2,Developing
AG00074,Star,4,7.0,87.3,47.5,8.5,1,0,20.8,0,2475.0,1176.0,1,Stable
AG00075,Stable,9,4.2,78.6,39.3,6.5,1,1,14.4,0,801.0,315.0,1,Stable
AG00076,Stable,21,6.3,85.9,39.9,8.1,1,0,12.5,0,1307.0,521.0,1,Stable
AG00077,Developing,8,2.9,58.5,35.0,4.1,0,0,15.6,1,509.0,178.0,3,At-Risk
AG00078,Stable,11,2.6,83.4,37.5,8.1,2,0,16.6,0,664.0,249.0,1,Stable
AG00079,Developing,5,1.6,69.2,32.0,5.8,3,1,16.1,0,250.0,80.0,1,Stable
AG00080,Developing,2,2.5,71.7,33.5,4.9,0,2,19.7,0,415.0,139.0,3,At-Risk
AG00081,Stable,62,6.9,82.4,44.0,7.8,4,1,1.7,0,1477.0,650.0,2,Developing
AG00082,Developing,10,4.9,78.4,34.6,5.8,0,3,16.3,0,855.0,296.0,3,At-Risk
AG00083,Stable,22,3.7,76.6,43.0,6.8,0,1,9.6,0,978.0,421.0,1,Stable
AG00084,Star,8,4.8,96.9,43.7,8.1,3,0,20.8,0,1855.0,811.0,1,Stable
AG00085,Star,72,15.4,97.9,53.1,9.6,1,0,6.3,0,6017.0,3195.0,0,Star
AG00086,Developing,19,4.6,65.4,28.8,5.6,0,1,7.2,0,845.0,243.0,3,At-Risk
AG00087,Stable,3,2.4,80.4,37.9,7.5,2,1,19.1,0,533.0,202.0,1,Stable
AG00088,Stable,20,6.5,72.6,39.6,8.6,4,0,7.6,0,1230.0,487.0,2,Developing
AG00089,Stable,25,7.4,76.5,37.7,7.7,0,1,9.8,0,2119.0,799.0,2,Developing
AG00090,Stable,2,0.9,85.0,40.0,5.7,0,0,21.5,0,235.0,94.0,1,Stable
AG00091,Developing,46,3.2,66.8,39.0,6.5,0,0,6.3,0,623.0,243.0,2,Developing
AG00092,Stable,19,6.1,85.9,35.2,6.6,0,0,10.8,0,1113.0,392.0,1,Stable
AG00093,Stable,4,4.5,80.5,43.6,6.5,0,1,15.7,0,1235.0,538.0,1,Stable
AG00094,Stable,75,5.4,70.8,44.5,6.4,4,1,3.3,0,1375.0,612.0,2,Developing
AG00095,Developing,39,3.8,68.7,35.1,6.6,1,0,6.8,0,663.0,233.0,2,Developing
AG00096,Stable,27,6.1,73.6,35.5,5.1,2,0,8.1,0,1426.0,506.0,2,Developing
AG00097,Star,1,4.2,85.3,44.7,8.7,1,0,24.4,0,1697.0,759.0,1,Stable
AG00098,Stable,91,7.4,77.2,39.4,9.1,2,0,0.0,0,1741.0,686.0,2,Developing
AG00099,At-Risk,14,0.4,63.1,31.7,4.7,0,1,13.3,1,61.0,19.0,3,At-Risk
AG00100,At-Risk,12,3.3,47.5,20.9,3.3,0,4,13.9,0,340.0,71.0,3,At-Risk
AG00101,Developing,1,0.4,69.3,29.9,5.2,1,1,18.8,0,78.0,23.0,3,At-Risk
AG00102,Stable,9,4.0,78.0,39.6,6.3,1,1,16.8,0,1201.0,476.0,1,Stable
AG00103,At-Risk,54,0.0,60.0,29.9,3.0,0,2,3.1,1,0.0,0.0,3,At-Risk
AG00104,Developing,53,3.3,70.8,30.9,7.8,0,2,4.7,0,699.0,216.0,3,At-Risk
AG00105,Developing,2,2.0,71.5,35.0,6.3,2,1,21.4,0,417.0,146.0,1,Stable
AG00106,Stable,14,5.7,72.9,37.6,6.4,1,0,13.8,0,1493.0,561.0,1,Stable
AG00107,Stable,36,7.9,78.7,41.1,5.3,1,0,3.8,0,2387.0,981.0,2,Developing
AG00108,Star,19,10.8,89.7,45.1,8.2,2,0,13.3,0,4106.0,1852.0,0,Star
AG00109,At-Risk,7,2.5,54.4,31.2,3.8,0,2,21.2,1,318.0,99.0,3,At-Risk
AG00110,Stable,28,5.4,88.5,38.1,8.1,5,0,11.0,0,1446.0,551.0,2,Developing
AG00111,Stable,19,3.4,81.4,43.4,7.1,3,1,12.7,0,880.0,382.0,1,Stable
AG00112,Stable,21,4.4,80.6,38.9,6.8,0,1,10.9,0,975.0,379.0,1,Stable
AG00113,Stable,5,2.4,73.3,45.5,6.9,0,0,16.3,0,614.0,279.0,1,Stable
AG00114,Stable,15,3.9,71.0,40.4,7.8,2,1,12.4,0,1124.0,454.0,1,Stable
AG00115,At-Risk,40,1.7,70.9,30.4,6.2,0,2,4.9,1,212.0,64.0,3,At-Risk
AG00116,Developing,19,5.2,62.6,33.4,8.3,0,0,10.9,0,1024.0,342.0,1,Stable
AG00117,Developing,27,3.5,72.0,34.6,5.0,0,1,5.6,1,677.0,234.0,3,At-Risk
AG00118,Stable,13,5.9,73.0,34.5,6.7,1,0,15.5,0,1493.0,515.0,1,Stable
AG00119,Developing,46,4.0,65.6,34.0,5.9,1,0,0.0,1,605.0,206.0,2,Developing
AG00120,Stable,3,2.2,69.7,44.4,5.2,1,1,21.4,0,710.0,315.0,1,Stable
AG00121,Developing,35,1.1,69.0,30.5,5.3,0,1,8.4,1,204.0,62.0,3,At-Risk
AG00122,Star,5,7.5,86.4,49.3,8.2,2,0,25.9,0,2519.0,1242.0,0,Star
AG00123,Stable,8,1.5,79.1,41.6,5.9,4,0,15.8,0,432.0,180.0,1,Stable
AG00124,Star,64,12.7,90.6,45.8,8.4,7,0,5.3,0,5288.0,2422.0,0,Star
AG00125,Stable,15,6.2,81.1,39.8,5.9,1,1,12.9,0,1271.0,506.0,1,Stable
AG00126,Stable,17,5.4,74.5,40.6,7.5,0,0,13.0,0,1252.0,508.0,1,Stable
AG00127,Stable,30,6.4,80.5,35.7,8.1,0,0,7.5,0,1762.0,629.0,2,Developing
AG00128,Stable,34,5.1,87.2,34.0,8.7,0,0,4.5,0,983.0,334.0,2,Developing
AG00129,Stable,29,6.6,89.5,39.1,5.6,0,0,9.1,0,1621.0,634.0,2,Developing
AG00130,Stable,23,7.7,83.4,43.1,7.8,0,1,9.7,0,1656.0,714.0,2,Developing
AG00131,At-Risk,0,0.3,55.1,26.2,4.8,0,4,20.0,1,38.0,10.0,3,At-Risk
AG00132,Stable,4,1.9,77.4,39.4,6.6,0,0,15.7,0,478.0,188.0,1,Stable
AG00133,Stable,9,2.6,82.5,43.5,10.0,1,2,20.7,0,560.0,244.0,1,Stable
AG00134,Stable,54,6.6,87.0,44.2,8.6,1,0,5.8,0,1911.0,845.0,2,Developing
AG00135,Star,76,15.0,90.6,49.1,10.0,6,0,7.0,0,5109.0,2509.0,0,Star
AG00136,At-Risk,19,2.2,48.8,30.2,7.0,0,1,10.8,0,278.0,84.0,3,At-Risk
AG00137,Stable,13,3.9,69.1,38.6,8.9,0,0,15.0,0,901.0,348.0,1,Stable
AG00138,Developing,96,1.0,80.9,37.5,7.2,3,1,0.3,0,151.0,57.0,2,Developing
AG00139,Star,21,10.9,94.3,43.7,7.4,4,0,13.7,0,4405.0,1925.0,0,Star
AG00140,Stable,37,5.7,87.3,43.1,8.0,5,1,6.8,0,1567.0,675.0,2,Developing
AG00141,Stable,24,7.3,76.9,43.6,7.6,0,2,7.3,0,1416.0,617.0,2,Developing
AG00142,At-Risk,13,0.2,60.0,32.7,3.8,0,1,13.4,1,23.0,8.0,3,At-Risk
AG00143,Stable,16,4.0,76.6,38.4,6.8,0,1,11.4,0,954.0,366.0,1,Stable
AG00144,Stable,31,6.9,78.0,38.7,6.6,3,0,6.0,0,1394.0,539.0,2,Developing
AG00145,Stable,70,10.6,82.0,41.3,6.4,4,0,2.0,0,3124.0,1290.0,2,Developing
AG00146,Stable,17,6.7,73.8,31.5,7.8,0,1,8.4,0,1480.0,466.0,1,Stable
AG00147,Stable,15,5.6,77.8,39.5,8.8,0,0,14.8,0,1382.0,546.0,1,Stable
AG00148,Stable,1,1.6,80.2,40.2,5.8,0,1,24.3,1,421.0,169.0,1,Stable
AG00149,Star,3,2.0,85.6,52.7,9.4,3,1,20.8,0,538.0,284.0,1,Stable
AG00150,Developing,0,0.0,58.6,31.4,6.5,1,1,24.2,0,0.0,0.0,3,At-Risk
AG00151,At-Risk,4,0.0,59.4,27.7,5.5,0,1,18.9,0,0.0,0.0,3,At-Risk
AG00152,Stable,44,10.0,81.1,40.3,6.5,2,1,5.2,0,2220.0,895.0,2,Developing
AG00153,Stable,39,9.4,81.9,40.7,5.7,1,0,3.3,0,1927.0,784.0,2,Developing
AG00154,Stable,44,5.5,78.4,39.7,6.6,1,0,4.1,1,1413.0,561.0,2,Developing
AG00155,Developing,0,1.4,65.3,31.9,7.5,1,0,23.1,0,263.0,84.0,1,Stable
AG00156,Stable,32,4.5,83.3,33.3,8.4,1,1,5.3,0,799.0,266.0,2,Developing
AG00157,Developing,9,1.5,61.2,39.5,7.8,0,0,14.3,1,316.0,125.0,1,Stable
AG00158,Developing,19,6.0,70.3,35.4,5.6,0,1,10.0,0,1270.0,450.0,1,Stable
AG00159,Developing,64,2.1,76.6,37.4,5.5,2,1,0.0,1,403.0,151.0,2,Developing
AG00160,Stable,24,5.4,84.9,44.0,8.5,1,0,10.0,0,1622.0,714.0,2,Developing
AG00161,At-Risk,3,0.0,49.9,19.2,4.6,1,3,20.9,1,0.0,0.0,3,At-Risk
AG00162,Stable,14,7.3,84.1,37.5,8.6,2,1,13.9,0,1788.0,670.0,1,Stable
AG00163,Star,93,15.0,81.2,55.8,9.0,5,1,7.3,0,6275.0,3501.0,0,Star
AG00164,Stable,68,4.3,82.5,39.0,7.6,5,0,2.3,0,837.0,326.0,2,Developing
AG00165,Stable,46,6.1,84.8,44.0,7.3,1,0,8.6,0,1464.0,644.0,2,Developing
AG00166,Developing,4,0.0,69.3,40.3,5.7,0,1,17.2,1,0.0,0.0,1,Stable
AG00167,Developing,4,1.2,67.6,33.3,5.4,0,0,18.5,1,143.0,48.0,1,Stable
AG00168,Stable,3,3.0,82.5,41.1,8.5,0,2,19.0,0,815.0,335.0,1,Stable
AG00169,At-Risk,4,0.1,44.0,32.8,3.4,0,1,19.3,1,11.0,4.0,3,At-Risk
AG00170,Stable,0,3.3,90.4,38.8,6.1,0,1,21.5,0,724.0,281.0,1,Stable
AG00171,Stable,55,7.9,86.3,42.6,6.8,5,0,3.8,0,1400.0,596.0,2,Developing
AG00172,Stable,35,8.5,79.4,36.0,8.9,0,0,5.3,0,2086.0,751.0,2,Developing
AG00173,At-Risk,46,0.9,59.4,31.5,3.7,0,1,4.1,1,110.0,35.0,3,At-Risk
AG00174,Stable,20,10.5,74.9,38.6,6.1,1,2,6.2,0,2925.0,1129.0,2,Developing
AG00175,Star,0,2.8,81.6,44.7,9.7,1,0,26.6,0,849.0,380.0,1,Stable
AG00176,Stable,18,4.4,78.0,42.6,7.2,0,0,9.4,0,1138.0,485.0,1,Stable
AG00177,At-Risk,1,0.0,53.1,27.9,3.3,0,3,20.2,0,0.0,0.0,3,At-Risk
AG00178,At-Risk,57,1.3,43.1,22.5,2.9,0,0,1.7,1,162.0,36.0,3,At-Risk
AG00179,Developing,0,0.0,75.0,32.4,6.0,1,3,23.1,0,0.0,0.0,3,At-Risk
AG00180,At-Risk,11,1.2,56.0,27.3,6.1,0,1,13.6,1,146.0,40.0,3,At-Risk
AG00181,At-Risk,54,0.0,50.1,26.7,7.4,1,0,0.0,0,0.0,0.0,3,At-Risk
AG00182,Stable,45,7.7,78.4,37.8,7.8,0,1,5.6,0,2041.0,771.0,2,Developing
AG00183,Stable,51,5.6,82.7,37.1,7.3,2,0,2.9,0,1601.0,594.0,2,Developing
AG00184,Developing,29,3.2,71.7,31.2,6.0,0,2,7.9,0,561.0,175.0,3,At-Risk
AG00185,Developing,6,2.2,73.5,30.9,3.9,1,0,19.2,1,444.0,137.0,1,Stable
AG00186,Stable,45,10.9,76.6,40.1,8.3,4,4,3.1,0,3372.0,1352.0,0,Star
AG00187,Star,59,12.0,87.2,49.0,9.0,5,1,6.6,0,3286.0,1610.0,0,Star
AG00188,Developing,59,4.3,74.6,28.3,5.8,2,2,2.2,0,855.0,242.0,2,Developing
AG00189,Stable,48,6.5,86.1,40.3,8.7,2,0,6.7,0,968.0,390.0,2,Developing
AG00190,At-Risk,32,0.4,42.7,24.5,3.0,0,1,7.4,1,60.0,15.0,3,At-Risk
AG00191,Stable,68,5.9,73.4,42.8,7.7,4,1,3.1,0,1182.0,506.0,2,Developing
AG00192,Stable,47,8.7,71.9,35.8,8.6,2,0,2.3,0,2230.0,798.0,2,Developing
AG00193,Developing,2,0.3,50.6,34.5,3.9,0,0,21.9,1,59.0,20.0,3,At-Risk
AG00194,Stable,10,8.0,78.2,30.8,6.3,0,0,16.9,0,2083.0,642.0,1,Stable
AG00195,Stable,12,5.6,74.8,41.3,7.0,1,1,12.6,0,1075.0,444.0,1,Stable
AG00196,Stable,59,6.4,74.0,37.2,9.6,0,1,4.0,0,1412.0,525.0,2,Developing
AG00197,At-Risk,24,0.9,51.8,28.5,1.7,0,3,10.5,1,132.0,38.0,3,At-Risk
AG00198,Stable,1,0.9,74.4,36.2,9.1,0,0,25.6,0,283.0,102.0,1,Stable
AG00199,Stable,3,3.9,74.3,31.6,5.9,0,2,20.4,0,923.0,292.0,1,Stable
AG00200,Developing,11,0.3,68.5,28.7,6.4,2,3,14.6,0,56.0,16.0,3,At-Risk
AG00201,At-Risk,7,0.0,63.9,26.1,6.9,0,1,16.6,0,0.0,0.0,3,At-Risk
AG00202,Stable,5,2.6,78.5,41.3,7.2,0,0,18.0,0,671.0,277.0,1,Stable
AG00203,Stable,9,5.5,75.7,39.4,7.3,0,0,17.3,0,1744.0,687.0,1,Stable
AG00204,Star,32,13.5,88.2,46.3,8.5,0,0,8.5,0,3804.0,1761.0,0,Star
AG00205,Stable,36,9.1,77.2,40.4,7.6,1,0,8.3,0,2307.0,932.0,2,Developing
AG00206,Stable,77,8.0,80.5,42.1,8.5,2,0,0.0,0,2236.0,941.0,2,Developing
AG00207,Developing,24,1.9,63.1,35.7,4.5,0,0,10.7,1,257.0,92.0,3,At-Risk
AG00208,Stable,11,6.0,84.1,32.3,9.0,1,1,16.5,0,1628.0,526.0,1,Stable
AG00209,Stable,15,3.7,86.6,35.7,7.2,1,0,14.3,0,878.0,313.0,1,Stable
AG00210,Developing,1,0.0,62.6,31.9,5.4,0,2,21.7,1,0.0,0.0,3,At-Risk
AG00211,Stable,11,5.5,79.7,37.1,8.3,3,0,15.4,0,1294.0,480.0,1,Stable
AG00212,Stable,6,2.3,79.7,36.0,7.8,2,0,16.8,0,677.0,244.0,1,Stable
AG00213,Developing,3,1.4,77.0,32.5,6.6,0,0,17.4,0,204.0,66.0,1,Stable
AG00214,Developing,14,3.2,66.9,32.5,6.7,0,1,13.7,0,520.0,169.0,3,At-Risk
AG00215,Developing,4,1.4,79.6,36.3,5.2,0,2,19.1,1,240.0,87.0,1,Stable
AG00216,Stable,2,3.5,77.0,37.3,7.2,1,0,22.2,0,874.0,326.0,1,Stable
AG00217,Stable,28,6.1,82.1,39.9,4.1,1,0,7.9,1,1294.0,516.0,2,Developing
AG00218,At-Risk,43,1.8,64.7,27.9,5.1,0,0,5.7,1,245.0,68.0,3,At-Risk
AG00219,Stable,17,4.9,81.3,41.7,8.2,1,2,12.4,0,1424.0,594.0,1,Stable
AG00220,Stable,0,2.3,83.6,33.6,7.8,1,1,23.1,0,329.0,111.0,1,Stable
AG00221,Stable,13,4.2,69.7,38.5,7.6,2,0,15.5,0,1299.0,500.0,1,Stable
AG00222,Developing,1,0.5,59.1,35.7,4.8,1,0,19.3,1,90.0,32.0,3,At-Risk
AG00223,At-Risk,32,5.9,62.4,32.3,3.5,1,1,8.7,0,719.0,232.0,3,At-Risk
AG00224,Stable,59,8.2,79.1,42.6,6.2,0,1,3.4,0,1993.0,849.0,2,Developing
AG00225,At-Risk,24,2.5,56.7,30.0,1.0,0,2,10.6,0,314.0,94.0,3,At-Risk
AG00226,Star,7,5.9,90.4,44.2,9.3,2,0,22.9,0,2128.0,941.0,1,Stable
AG00227,Stable,77,8.7,82.2,38.4,9.2,3,1,0.0,0,2178.0,836.0,2,Developing
AG00228,Developing,31,3.6,63.3,33.2,5.4,1,0,9.9,1,617.0,205.0,3,At-Risk
AG00229,Stable,2,3.3,77.7,37.5,7.4,0,1,20.2,0,835.0,313.0,1,Stable
AG00230,Stable,6,4.1,73.9,39.6,6.1,1,0,15.9,0,1230.0,487.0,1,Stable
AG00231,Stable,38,5.9,73.4,39.6,4.5,1,0,5.2,1,1514.0,600.0,2,Developing
AG00232,At-Risk,6,2.1,58.3,26.3,2.3,0,2,15.5,1,268.0,70.0,3,At-Risk
AG00233,Stable,20,6.3,83.5,40.9,7.9,0,1,11.7,0,1570.0,642.0,1,Stable
AG00234,At-Risk,13,0.8,54.9,26.1,3.3,0,3,11.6,1,105.0,27.0,3,At-Risk
AG00235,Developing,10,3.0,73.5,29.7,6.2,0,2,17.6,1,495.0,147.0,3,At-Risk
AG00236,Stable,3,1.3,74.3,38.4,7.9,2,0,21.0,0,279.0,107.0,1,Stable
AG00237,Developing,34,1.6,67.8,36.2,4.7,1,1,7.3,1,323.0,117.0,3,At-Risk
AG00238,Star,28,11.1,86.4,46.5,8.7,1,0,7.2,0,5217.0,2426.0,0,Star
AG00239,Stable,60,5.4,71.5,39.6,6.7,2,2,1.0,0,1205.0,477.0,2,Developing
AG00240,Developing,8,3.7,70.6,29.4,7.0,1,1,16.2,0,533.0,157.0,1,Stable
AG00241,Developing,1,0.0,66.9,27.4,3.7,1,1,21.1,1,0.0,0.0,3,At-Risk
AG00242,Stable,68,6.3,84.7,37.3,7.7,6,0,5.1,0,1727.0,644.0,2,Developing
AG00243,Stable,27,6.1,82.0,39.9,7.9,0,2,2.7,0,1576.0,629.0,2,Developing
AG00244,Developing,0,1.3,66.1,33.5,7.4,1,1,20.5,0,160.0,54.0,1,Stable
AG00245,At-Risk,120,1.1,47.0,31.2,3.2,0,1,3.8,1,133.0,41.0,3,At-Risk
AG00246,Developing,62,3.8,68.5,38.2,5.8,2,4,2.8,0,578.0,221.0,3,At-Risk
AG00247,Stable,12,4.9,78.5,38.8,7.3,1,0,13.2,0,1535.0,596.0,1,Stable
AG00248,Stable,27,5.8,75.1,36.1,6.5,0,0,5.3,0,1273.0,460.0,2,Developing
AG00249,Stable,9,3.3,78.3,40.1,8.2,1,0,17.9,0,682.0,273.0,1,Stable
AG00250,Developing,8,2.2,69.8,31.1,3.7,0,1,15.4,1,303.0,94.0,3,At-Risk
AG00251,At-Risk,16,0.0,47.0,27.7,6.5,0,3,14.5,0,0.0,0.0,3,At-Risk
AG00252,Stable,10,4.3,85.0,42.2,8.0,0,2,18.1,0,1123.0,474.0,1,Stable
AG00253,Stable,11,4.1,70.9,36.5,7.8,1,0,17.3,0,1012.0,369.0,1,Stable
AG00254,Stable,2,2.0,70.1,35.9,4.5,0,0,20.3,1,410.0,147.0,1,Stable
AG00255,Developing,120,2.3,74.7,38.2,5.1,1,1,1.2,0,460.0,176.0,2,Developing
AG00256,Developing,29,3.0,79.4,32.0,5.0,0,3,6.9,0,555.0,178.0,3,At-Risk
AG00257,Stable,3,1.5,75.0,35.8,4.3,0,1,23.6,1,346.0,124.0,1,Stable
AG00258,Star,4,7.0,84.4,45.0,9.1,4,1,21.5,0,2378.0,1070.0,0,Star
AG00259,Stable,39,7.6,79.8,34.6,7.3,2,0,8.0,0,2101.0,727.0,2,Developing
AG00260,Stable,120,6.1,78.4,49.0,8.1,3,1,3.1,0,1223.0,599.0,2,Developing
AG00261,Developing,20,1.5,68.2,35.0,4.1,0,0,9.9,1,237.0,83.0,3,At-Risk
AG00262,Stable,6,5.1,81.8,36.9,8.2,3,1,17.1,0,1057.0,390.0,1,Stable
AG00263,Stable,120,6.1,86.3,40.4,7.8,5,0,4.5,0,1358.0,549.0,2,Developing
